sku,name,categories,price,product_type,errors
04-02-0035,"ASRock X570S PG Riptide Motherboard","PC COMPONENTS / MOTHERBOARD",39.9,,"Product Type is invalid or not supported"
04-02-0232,"ASRock X670E PG Lightning - Support AMD AM5 RYZEN 7000 Series Processors - Motherboard","PC COMPONENTS / MOTHERBOARD",89.9,,"Product Type is invalid or not supported"
04-02-0231,"ASRock X670E Steel Legend - Support AMD AM5 RYZEN 7000 Series Processors - Motherboard","PC COMPONENTS / MOTHERBOARD",99.9,,"Product Type is invalid or not supported"
04-02-0060,"ASRock Z690 Extreme WiFi 6E Motherboard","PC COMPONENTS / MOTHERBOARD",139.9,,"Product Type is invalid or not supported"
04-02-0064,"ASRock Z690 Phantom Gaming Motherboard - ITX / TB4 - Black","PC COMPONENTS / MOTHERBOARD",89.9,,"Product Type is invalid or not supported"
04-03-0087,"ASRock Z690 Taichi MotherBoard ","PC COMPONENTS / MOTHERBOARD",119.9,,"Product Type is invalid or not supported"
04-02-0165,"ASRock Z790 PG Lightning/D4 ATX Intel LGA1700 Motherboard","PC COMPONENTS / MOTHERBOARD",79.9,,"Product Type is invalid or not supported"
04-02-0164,"ASRock Z790 Steel Legend WiFi LGA 1700 Intel Z790 SATA 6Gb/s DDR5 ATX Intel Motherboard","PC COMPONENTS / MOTHERBOARD",109.9,,"Product Type is invalid or not supported"
90IG05P0-MU0410,"ASUS AX1800 Dual Band WiFi 6 802.11ax Repeater & Range Extender RP AX56 Coverage Up to 2200 sq.ft-white","ACCESSORIES / NETWORKING DEVICES",34,,"Product Type is invalid or not supported"
90YH0340-B2UA00,"ASUS C3 Full HD USB Webcam with Adjustable Clip","ACCESSORIES / CAMERAS / WEB CAMERS",23.75,,"Product Type is invalid or not supported"
90YV0J40-M0NA00,"ASUS DUAL RTX 4060 TI O8G","PC COMPONENTS / GRAPHICS CARD",142,,"Product Type is invalid or not supported"
90YV0G1J-M0NA00,"ASUS Dual GeForce RTX 3060 Ti 8GB OC V2 Graphics Card","PC COMPONENTS / GRAPHICS CARD",182,,"Product Type is invalid or not supported"
90YV0J42-M0NA00,"ASUS Dual GeForce RTX 4060 Ti White OC Edition 8GB GDDR6","PC COMPONENTS / GRAPHICS CARD",159,,"Product Type is invalid or not supported"
90YV0IZ4-M0NA00,"ASUS Dual GeForce RTXâ„¢ 4070 White OC Edition 12GB GDDR6X","PC COMPONENTS / GRAPHICS CARD",229,,"Product Type is invalid or not supported"
90YV0IB0-M0NA00,"ASUS GeForce RTX 4080 TUF OC - 16GB GDDR6X RAM - Graphics card","PC COMPONENTS / GRAPHICS CARD",456,,"Product Type is invalid or not supported"
90YV0ID0-M0NA00,"ASUS GeForce RTX 4090 ROG Strix OC 24GB Gaming Graphics Card","PC COMPONENTS / GRAPHICS CARD",699,,"Product Type is invalid or not supported"
90YV0IE0-M0NA00,"ASUS GeForce RTX 4090 TUF OC 24GB Gaming Graphics Card","PC COMPONENTS / GRAPHICS CARD",645,,"Product Type is invalid or not supported"
90MB1DU0-M0EAY0,"ASUS MB Asus ProArt B760-Creator D4 DDR4","PC COMPONENTS / MOTHERBOARD",80,,"Product Type is invalid or not supported"
90MB1E10-M0EAY0,"ASUS MB ROG STRIX Z790 H GAMING WIFI","PC COMPONENTS / MOTHERBOARD",125,,"Product Type is invalid or not supported"
90MB1DF0-M0EAY0,"ASUS MB TUF GAMING B760-PLUS WIFI D4 LGA1700 ATX","PC COMPONENTS / MOTHERBOARD",72,,"Product Type is invalid or not supported"
90MB1DI0-M0EAY0,"ASUS MB TUF GAMING B760M-PLUS D4 LGA1700  Micro-ATX","PC COMPONENTS / MOTHERBOARD",63,,"Product Type is invalid or not supported"
90MB1DG0-M0EAY0,"ASUS MB TUF GAMING B760M-PLUS WIFI D4","PC COMPONENTS / MOTHERBOARD",69,,"Product Type is invalid or not supported"
90IG07A0-MO0B00,"ASUS PCE-AX1800 Dual Band PCI-E WiFi 6 (802.11ax) Adapter,","PC COMPONENTS / NETWORKING CARDS",16,,"Product Type is invalid or not supported"
90IG07I0-MO0B00,"ASUS PCE-AXE59BT AXE5400 BT5.2 WLAN 2402 Mbit/s","PC COMPONENTS / NETWORKING CARDS",29,,"Product Type is invalid or not supported"
90MB1A10-M0EAY0,"ASUS PRIME H610M-K D4 Motherboard","PC COMPONENTS / MOTHERBOARD",36,,"Product Type is invalid or not supported"
90MB1CK0-M0EAYC,"ASUS PRIME Z790-P CSM, INTEL Z790 MOTHERBOARD - SOCKET 1700, DDR5","PC COMPONENTS / MOTHERBOARD",83,,"Product Type is invalid or not supported"
90MB1CJ0-M0EAY0,"ASUS PRIME Z790-P WIFI Motherboard","PC COMPONENTS / MOTHERBOARD",88,,"Product Type is invalid or not supported"
90YE00N2-B0NA00,"ASUS PSU ROG LOKI 850P WHITE SFX- L","PC COMPONENTS / POWER SUPPLY",87,,"Product Type is invalid or not supported"
90YE00P2-B0NA00,"ASUS PSU ROG STRIX 850G AURA GAMING","PC COMPONENTS / POWER SUPPLY",75,,"Product Type is invalid or not supported"
90YE00P3-B0NA00,"ASUS PSU ROG-STRIX-750G-AURA- GAMING","PC COMPONENTS / POWER SUPPLY",69.75,,"Product Type is invalid or not supported"
90MB1EF0-M0EAY0,"ASUS Prime B760-PLUS Mother board","PC COMPONENTS / MOTHERBOARD",59,,"Product Type is invalid or not supported"
90MP0316-BKCA00,"ASUS ROG Azoth 75% Wireless DIY Mechanical Gaming Keyboard - EN/AR","PC COMPONENTS / KEYBOARDS & ACCESSORIES",79,,"Product Type is invalid or not supported"
90YH03H0-B2UA00,"ASUS ROG Delta S EVA Edition Gaming Headset","ACCESSORIES / GAMING HEADSET",59,,"Product Type is invalid or not supported"
90MP0346-BKCA00,"ASUS ROG Falchion Ace 65% Mechanical Gaming Keyboard - Black","PC COMPONENTS / KEYBOARDS & ACCESSORIES",38,,"Product Type is invalid or not supported"
90YE00N3-B0NA00,"ASUS ROG LOKI SFX-L 850W Platinum","PC COMPONENTS / POWER SUPPLY",83,,"Product Type is invalid or not supported"
90RC00I2-M0UAY0,"ASUS ROG RYUO III 360 ARGB WHITE","PC COMPONENTS / FANS & COOLERS",95,,"Product Type is invalid or not supported"
90GC00D0-MSG010,"ASUS ROG SL300 Chariot Core Gaming Chair","ACCESSORIES / GAMING CHAIRS & DESKS / GAMING CHAIRS",125,,"Product Type is invalid or not supported"
90GC00E0-MSG010,"ASUS ROG SL300C Chariot RGB Gaming Chair","ACCESSORIES / GAMING CHAIRS & DESKS / GAMING CHAIRS",149,,"Product Type is invalid or not supported"
90YH01X1-B3UA00,"ASUS ROG STRIX GO 2.4 HEADSET","ACCESSORIES / GAMING HEADSET",44,,"Product Type is invalid or not supported"
90RC00E1-M0UAY0,"ASUS ROG STRIX LC II 240 ARGB Liquid CPU Cooler","PC COMPONENTS / FANS & COOLERS",67,,"Product Type is invalid or not supported"
90RC00F1-M0UAY4,"ASUS ROG STRIX LC II 360 ARGB","PC COMPONENTS / FANS & COOLERS",67.5,,"Product Type is invalid or not supported"
90YV0II0-M0NA00,"ASUS ROG Strix GeForce RTX 4070 Ti 12GB GDDR6X OC Edition","PC COMPONENTS / GRAPHICS CARD",359,,"Product Type is invalid or not supported"
90DC0023-B39000,"ASUS ROG Strix Helios GX601 ARGB Mid Tower Case - White Edition","PC COMPONENTS / PC CASE / MID-TOWER CASE",90,,"Product Type is invalid or not supported"
90MP01M0-BPUA00,"ASUS ROG Strix Slice Gaming Mouse Pad","ACCESSORIES / MOUSEPAD",9.5,,"Product Type is invalid or not supported"
